"trial","ref_position","var_area","response","correct","rt"
1,"L",8.78176556807011,"L",TRUE,13.9759998321533
2,"L",13.6018230391201,"R",TRUE,3.50500011444092
3,"L",8.85483832913451,"R",FALSE,2.08700013160706
4,"L",10.6199563450646,"L",FALSE,1.99699997901917
5,"R",10.049452397041,"R",FALSE,5.09500002861023
6,"R",11.0564947414678,"L",TRUE,1.10400009155273
7,"R",10.8725634678267,"R",FALSE,1.10800004005432
8,"L",8.90780159458518,"L",TRUE,0.995000123977661
9,"R",9.51600571908057,"R",FALSE,0.996999979019165
10,"R",14.3794005999807,"L",TRUE,1.19799995422363
11,"R",12.4561506106984,"R",FALSE,1.20700001716614
12,"L",11.0074753370136,"L",FALSE,1.10999989509583
13,"R",11.7712962953374,"L",TRUE,1.09800004959106
14,"L",10.8965840390883,"L",FALSE,0.996000051498413
15,"L",10.559056187747,"L",FALSE,1.51300001144409
16,"L",14.1931507929694,"R",TRUE,2.17999982833862
17,"L",9.39093775348738,"L",FALSE,1.30599999427795
18,"L",8.90341951721348,"L",TRUE,1.30599999427795
19,"L",9.47494019079022,"R",TRUE,1.58100008964539
20,"R",10.8486680549104,"L",TRUE,1.29699993133545
